wkt_geom,LOCATION,APP_NO,STATUS,NO_OF_TURB,HUB_HT,TIP_HT,STATUS__OP,INSTALLED_,CAPACITY,Decision,lon,lat
Point (-4.82698082592094035 50.44439382407951911),"Land E of Hendra Farm, Prince Park Road, Withiel",PA11/07278,Application approved & operational,1,36.4m,46m,Operational,1,0.1,2/9/2012,-4.827,50.4444
Point (-4.88855140477475203 50.33597721882235021),"Bodinnick Farm, Coombe, St Austell",PA11/01122,Application approved & operational,1,25m,34.4m,Operational,1,0.05,4/7/2011,-4.8886,50.336
Point (-5.22524941300277757 50.17190432997402638),"Little White Alice, Calvadnack",PA11/07442,Application approved & operational,1,---,15m,Operational,1,0.005,8/23/2012,-5.2252,50.1719
Point (-5.22637635611020634 50.17112622424811974),"Little White Alice, Calvadnack",W2/PA08/01890/F,Application approved & operational,1,15.18m,17.98m,Operational,1,0,1/23/2009,-5.2264,50.1711
Point (-4.8317192465336074 50.47517864211154404),"Higher Tregawne Farm,  Withiel,  Bodmin",PA11/07746,Approved on appeal and operational,1,36m,45m,Operating appeal,1,0.05,11/22/2012,-4.8317,50.4752
Point (-4.55423780047937576 50.41489418583420701),"Botelet Farm, Herodsfoot, Liskeard",PA11/02044,Application approved & operational,2,18m,25m,Operational,2,0.022,7/4/2011,-4.5542,50.4149
Point (-4.96232779626101195 50.5074850064436589),"N of Treleigh Farm, St Ervan, Wadebridge",PA11/08378,Application approved & operational,1,37m,54m,Operational,1,0.33,5/29/2012,-4.9623,50.5075
Point (-4.88358176273625322 50.50059058417607361),"Pawton Farm, St Breock, Wadebridge",PA11/04284,Application approved & operational,1,50m,77m,Operational,1,0.5,7/12/2012,-4.8836,50.5006
Point (-4.54069376105513989 50.90662594556432197),"S of Trevona, Morwenstow, Bude",PA11/07620,Application approved & operational,1,15m,17.8m,Operational,1,0.006,11/23/2011,-4.5407,50.9066
Point (-4.49364431251125573 50.83746311955884067),"Oxenpark Farm, Stratton, Bude",PA11/08749,Application approved & operational,1,18.4m,24.8m,Operational,1,0.011,12/14/2011,-4.4936,50.8375
Point (-4.8403093215770836 50.32416930993627346),"Ninnis Farm, Sticker, St Austell",PA11/08547,Application approved & operational,1,25m,34.4m,Operational,1,0.055,6/21/2012,-4.8403,50.3242
Point (-4.85482463759840144 50.34827328477616248),"Henavisten Farm, St Austell",PA11/08550,Application approved & operational,1,25m,34.4m,Operational,1,0.05,1/5/2012,-4.8548,50.3483
Point (-5.01011703724218371 50.46792455350500006),Merlin Golf and Country Club,PA11/03429,Application approved & operational,1,25m,34.6m,Operational,1,0.05,10/17/2011,-5.0101,50.4679
Point (-4.67714937421570554 50.64551475329119512),"Worthyvale Manor, Slaughterhouse",PA11/08574,Application approved & operational,1,24m,34.2m,Operational,1,0.05,12/12/2011,-4.6771,50.6455
Point (-4.95753322440858923 50.54631847477017459),"Trethillick Farm, Crugmeer, Padstow",PA11/05187,Application approved & operational,1,15m,20m,Operational,1,0.011,10/21/2011,-4.9575,50.5463
Point (-4.93794335443497623 50.45963169759633615),"Rosedinnick Farm, Talskiddy, St Columb",PA11/07592,Application approved & operational,1,25m,34m,Operational,1,0.055,1/13/2012,-4.9379,50.4596
Point (-5.18961591784957577 50.26926197628146298),"Wheal Britain Farm, Blackwater",PA11/08558,Application approved & operational,1,18.3m,24.8m,Operational,1,0.011,2/22/2012,-5.1896,50.2693
Point (-4.94320046976992611 50.47985596340926406),"Higher Trevibban Farm, St Ervan",PA11/08884,Application approved & operational,2,36m,45m,Operational,1,0.05,7/6/2012,-4.9432,50.4799
Point (-4.77323103643392166 50.52415228167666328),"Burlerrow, Wadebridge Road, St Mabyn, Bodmin",PA11/02921,Application approved & operational,1,25m,34.6m,Operational,1,0.05,5/25/2011,-4.7732,50.5242
Point (-4.73218822915425275 50.61390076471501942),"Helland Barton, Delabole",E1/2009/00754,Application approved & operational,1,18m,24.8m,Operational,1,0.011,7/14/2009,-4.7322,50.6139
Point (-4.5471587617634075 50.69174683259548431),"Tredown Farm, Warbstow, Launceston",E1/2008/01358,Application approved & operational,2,15m,20.2m,Operational,2,0.04,8/29/2008,-4.5472,50.6917
Point (-4.73902105632819293 50.640766467446376),"Fentafriddle Farm, Trewarmett, Tintagel",E1/2009/01115,Application approved & operational,1,18m,23.2m,Operational,1,0.02,9/25/2009,-4.739,50.6408
Point (-4.55223659065267849 50.63248832262746646),"Basil Farm, Bosil Road, St Clether",PA11/09010,Application approved & operational,1,18m,24.5m,Operational,1,0.011,12/19/2011,-4.5522,50.6325
Point (-4.31961712583793211 50.38248022307833196),"Higher Tredis, Sheviock, Torpoint",PA10/04698,Application approved & operational,1,18.4m,21.65m,Operational,1,0.011,11/8/2010,-4.3196,50.3825
Point (-5.36080347083428244 50.19141767051000613),"Lanyon Farm, Gwinear Lane, Gwinear",PA11/09274,Application approved & operational,1,18.3m,24.8m,Operational,1,0.011,2/9/2012,-5.3608,50.1914
Point (-5.12681902952448976 50.3213077244231286),"Fair View, Callestick, Truro",PA11/08977,Application approved & operational,1,24.7m,34.4m,Operational,1,0.055,12/23/2011,-5.1268,50.3213
Point (-5.18662338087772223 50.12944509729295106),"Trewardreva Farm, Trewardreva",PA11/09359,Application approved & operational,1,12m,14.28m,Operational,1,0.005,3/9/2012,-5.1866,50.1294
Point (-5.1530245428022674 50.12408338255569618),"Trevaney Farmhouse, Trevaney",PA11/09575,Application approved & operational,1,15m,---,Operational,1,0.005,3/2/2012,-5.153,50.1241
Point (-5.65423990484544881 50.07961352889699214),"Little Bosanketh Farm, St Buryan",PA11/09069,Application approved & operational,1,24.6m,34.4m,Operational,1,0.05,3/9/2012,-5.6542,50.0796
Point (-4.67331054295839632 50.4694763141975713),"Tawnamoor, Cardinham, Bodmin",PA11/06111,Application approved & operational,1,15m,17.75,Operational,1,0.006,2/2/2012,-4.6733,50.4695
Point (-4.65811799867760001 50.66826831202196502),"Halwill Barton, Camelford",PA11/09034,Application approved & operational,1,25m,34.2m,Operational,1,0.05,1/12/2012,-4.6581,50.6683
Point (-4.69504989199379441 50.65122689212557816),"Land at Condolden Farm, Tintagel",PA11/09279,Application approved & operational,1,24.6m,35m,Operational,1,0.05,4/26/2012,-4.695,50.6512
Point (-4.5430006068754949 50.80605566287251662),"Whalesborough Farm, Marhamchurch",PA11/09416,Application approved & operational,1,22m,29.9m,Operational,1,0.05,2/8/2012,-4.543,50.8061
Point (-5.06839003536833754 50.29115601781616363),"Tremeneth, Idless, Truro",PA11/08956,Application approved & operational,1,18m,22.4m,Operational,1,0.01,2/29/2012,-5.0684,50.2912
Point (-4.98418237937766406 50.30627691663554657),"Treverbyn Farm, Probus, Truro",PA11/09308,Application approved & operational,1,18m,24.8m,Operational,1,0.011,3/28/2012,-4.9842,50.3063
Point (-4.59888194321185573 50.75954643781042108),"East Dizzard, St Gennys, Bude",E1/2010/00228,Application approved & operational,1,15m,20.2m,Operational,1,0.02,9/3/2010,-4.5989,50.7595
Point (-4.97684549528305009 50.31434368838578308),"Treverbyn Farm, Probus",PA11/09818,Approved on appeal and operational,1,24.6m,34.2m,Operating appeal,1,0.05,11/20/2012,-4.9768,50.3143
Point (-5.36524310699038143 50.2192082500591539),"Higher Nanterrow Farm, Nanterrow Lane",PA11/09602,Application approved & operational,1,18.3m,24.8m,Operational,1,0.011,2/28/2012,-5.3652,50.2192
Point (-4.47314046278304911 50.82662007213133393),"Land East of Prustacott Farm, Launcells, Bude",PA11/10280,Approved on appeal and operational,1,44.28m,54m,Operating appeal,1,0.33,5/13/2013,-4.4731,50.8266
Point (-5.0794857715253956 50.2812109198454138),"Bussavean Farm, Kenwyn, Truro",PA11/00093,Application approved & operational,1,20m,26m,Operational,1,0.02,5/20/2011,-5.0795,50.2812
Point (-4.53253763784821118 50.87951871601234188),"Land Adj Endslee Farm, Coombe Valley",PA11/10107,Application approved & operational,1,29.6m,40m,Operational,1,0.05,3/9/2012,-4.5325,50.8795
Point (-4.68631436338328644 50.64339310049788168),"Tregora, Slaughterbridge, Camelford",PA11/10271,Application approved & operational,1,29.6m,40m,Operational,1,0.05,11/21/2012,-4.6863,50.6434
Point (-4.89288399883779856 50.30032720214133946),"Field At OS Grid Ref 194087 48498, Grampound Hill",PA11/10010,Application approved & operational,1,24.8m,34.4m,Operational,1,0.05,1/23/2012,-4.8929,50.3003
Point (-5.63458146308760544 50.15679482836826253),"Carn Farm, Morvah, Pendeen",PA11/10697,Application approved & operational,1,15m,21.8m,Operational,1,0.011,3/2/2012,-5.6346,50.1568
Point (-4.43395959101526493 50.58348997522185186),"1 Trenhorne House, Congdons Shop",PA11/10897,Application approved & operational,1,18m,20.8m,Operational,1,0.005,5/25/2012,-4.434,50.5835
Point (-5.63941525502556029 50.15968898577025215),"Tregaminion Manor Farm, Morvah, Pendeen",PA11/10653,Application approved & operational,1,15m,21.8m,Operational,1,0.011,2/24/2012,-5.6394,50.1597
Point (-5.65002477478828435 50.11963135565512317),"Leswidden Concrete Products, St Just",PA11/10836,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,2/15/2012,-5.65,50.1196
Point (-4.46991118212918259 50.64299798591329704),"West Down End, Pipers Pool, Launceston",PA11/10903,Application approved on appeal,1,35m,45.45m,Appeal allowed,0,0.05,8/9/2013,-4.4699,50.643
Point (-4.95297796905502352 50.48886347890077531),"Bogee Farm, Rumford, Wadebridge",PA11/10906,Application approved & operational,1,29m,40m,Operational,1,0.05,3/9/2012,-4.953,50.4889
Point (-4.80621697387670999 50.30904496978480012),"Levalsa Meor Farm, Levalsa Meor",PA11/09524,Application approved & operational,1,18m,22.8m,Operational,1,0.015,5/1/2012,-4.8062,50.309
Point (-4.64639979515272827 50.35859485004338865),"South Torfrey Farm, Golant, Fowey",PA11/10500,Approved on appeal and operational,2,15m,21.48m,Operating appeal,2,0.04,12/10/2014,-4.6464,50.3586
Point (-5.38740387054274983 50.19888601941256212),"16 Carwin Rise, Loggans, Hayle",PA12/00322,Application approved & operational,1,36.5m,46m,Operational,1,0.055,3/12/2012,-5.3874,50.1989
Point (-4.36164193244880583 50.60877787094288749),"Trevozah Cross, Launceston",PA12/00649,Application approved & operational,1,50m,77m,Operational,1,0.5,8/2/2012,-4.3616,50.6088
Point (-4.73520870865356525 50.59916212216370468),"Trevilley Farm Bungalow, Delabole",PA12/00378,Application approved & operational,1,37m,47.5m,Operational,1,0.1,6/22/2012,-4.7352,50.5992
Point (-4.50049951700376027 50.76778369363154297),"Week Orchard Farm, Marhamchurch",PA12/00444,Approved on appeal and operational,1,37m,47.5m,Operating appeal,1,0.1,11/14/2012,-4.5005,50.7678
Point (-4.97230432300092673 50.31539006216003429),"Trobus Farm, Ladock",PA11/10971,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,10/11/2012,-4.9723,50.3154
Point (-4.95688023676943246 50.31199338145452771),"SW of The Old Coach House, Swallows Court",PA12/00463,Application approved not constructed,1,32.4m,46.9m,Approved,0,0.225,2/4/2013,-4.9569,50.312
Point (-4.88964215790280043 50.38952322879782741),"Domellick Barn, St Dennis",C2/08/00181,Application approved & operational,1,6.5m,8.25m,Operational,1,0,4/4/2008,-4.8896,50.3895
Point (-4.6509231835948146 50.52767401780365475),"Wallhouse, Blisland, Bodmin",PA12/01117,Application approved & operational,1,18m,20.75m,Operational,1,0.005,9/27/2012,-4.6509,50.5277
Point (-5.14591516818403694 50.32852519476017505),"Lambrigan Deer Farm, Penwartha",PA12/01069,Application approved & operational,1,25m,34.6m,Operational,1,0.05,3/30/2012,-5.1459,50.3285
Point (-5.0379214313039391 50.40167466152458786),"Trethiggey Farm, Trethiggey",PA12/00790,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,6/12/2012,-5.0379,50.4017
Point (-4.96311504985332519 50.30201818099925504),"Cuskayne Farm, Probus",PA11/08881,Application approved & operational,1,20m,27.1m,Operational,1,0.015,4/3/2012,-4.9631,50.302
Point (-4.76330256034299548 50.61577363531760199),"Tregragon Farm, Delabole",PA10/05120,Application approved & operational,1,15m,20m,Operational,1,0.015,12/23/2010,-4.7633,50.6158
Point (-5.16480154560293592 50.27368456543559461),"Kea Farm, Threeburrows, Blackwater",C1/PA04/0044/06/G,Application approved & operational,1,15m,17.79m,Operational,1,0.006,3/27/2006,-5.1648,50.2737
Point (-5.38560089563055922 50.17860415212791025),"Howldrevel, Drannack Lane",PA12/01044,Application approved & operational,1,18m,24.5m,Operational,1,0.011,4/18/2012,-5.3856,50.1786
Point (-4.82452930650615297 50.44544097740450184),Oak Tree Lodge Trevidgeowe Farm,PA12/01786,Approved on appeal and operational,1,37m,47m,Operating appeal,1,0.1,1/7/2013,-4.8245,50.4454
Point (-4.4905193079375838 50.76494624663637723),"Kitleigh Bungalow, Stewarts Road",PREAPP12/00783,Pre application - closed/issued,2,---,---,Closed pub avail,0,0,4/20/2012,-4.4905,50.7649
Point (-5.08887427048802987 50.07756311204159516),"Lestowder Farm, Manaccan, Helston",PA10/06229,Application approved & operational,1,15m,19.8m,Operational,1,0.01,1/7/2011,-5.0889,50.0776
Point (-5.18923271758490667 50.15867896342941634),"Lower Rame Farm, Underlane, Wendron",W2/PA05/00703/F,Application approved & operational,1,9.7m,12.4m,Operational,1,0.006,7/19/2005,-5.1892,50.1587
Point (-4.45250434403422624 50.62947178198480458),"Menwenicke Barton, Launceston",PA12/02928,Application approved & operational,1,50m,77m,Operational,1,0.5,12/24/2012,-4.4525,50.6295
Point (-4.54530516223826009 50.38081209194612597),"Tremaine Farm, Pelynt, Looe",PREAPP12/00913,Pre application - closed/issued,1,50m,78m,Closed pub avail,0,0.5,8/6/2012,-4.5453,50.3808
Point (-4.86749888004272435 50.48240056364231521),"St Breock Wind Farm, St Breock, Wadebridge",PA12/02907,Application approved & operational,5,60m,100,Operational,5,12.5,10/3/2012,-4.8675,50.4824
Point (-4.54915269259898114 50.38305834390157401),"Tresawson Farm, Lanreath, Looe",PREAPP12/00825,Pre application - closed/issued,1,50m,78m,Closed pub avail,0,0.5,8/6/2012,-4.5492,50.3831
Point (-4.90810961956677261 50.30383780733416188),"Penbetha Farm, Grampound Road, Truro",PREAPP12/00809,Pre application - closed/issued,1,32m,45.5m,Closed pub avail,0,0.225,8/31/2012,-4.9081,50.3038
Point (-4.55795604012162681 50.68744550089481038),"Fentrigan, Warbstow, Launceston",PA12/02339,Application approved & operational,1,25m,34.37m,Operational,1,0.05,6/6/2012,-4.558,50.6874
Point (-4.5141341359016609 50.77182425835318469),"Kitsham, Poundstock, Bude",PA12/02931,Application approved & operational,2,20m,26m,Operational,2,0.03,10/16/2012,-4.5141,50.7718
Point (-4.58174284664756559 50.68448641354611794),"Tregida Smokehouse, Warbstow",PA12/02378,Application approved & operational,1,35m,46m,Operational,1,0.05,7/19/2012,-4.5817,50.6845
Point (-5.50564682172343822 50.15921524630326189),"Boskennal Farm, Blowing House Hill, Ludgvan",PREAPP12/00454,Pre application - closed/issued,1,31.5m,45m,Closed pub avail,0,0.225,4/3/2012,-5.5056,50.1592
Point (-4.87659557277102618 50.30110718122422497),"Penans Farm, Grampound, Truro",PREAPP12/01037,Pre application - closed/issued,1,---,70m,Closed pub avail,0,0,6/12/2012,-4.8766,50.3011
Point (-4.70689397197027226 50.63288308194436382),"Deli Farm, Delabole",E1/2008/00638,Application approved & operational,4,69m,99.5m,Operational,4,9.2,11/13/2009,-4.7069,50.6329
Point (-4.53523720536090114 50.64437380600808325),"Cold Northcott Farm, St Clether",E1/90/2595,Application approved & operational,22,25m,42m,Operational,22,6.8,2/12/1992,-4.5352,50.6444
Point (-4.35336574404608179 50.46512792836817596),"Sopers Farm , Quethiock, Liskeard",E2/99/00033/FUL,Application approved & operational,1,---,---,Operational,1,0,3/15/1999,-4.3534,50.4651
Point (-4.50046179391892043 50.92364736747694565),"North Hackmarsh, Wooley, Morwenstow, Bude",PA10/08299,Application approved & operational,1,11.4m,14.1m,Operational,1,0.005,4/18/2011,-4.5005,50.9236
Point (-5.1062822428298098 50.25285392644697424),"Honeysuckle Farm, Besore, Threemilestone, Truro",C1/PA14/1362/01/G,Application approved & operational,1,---,15m,Operational,1,0,12/17/2001,-5.1063,50.2529
Point (-5.291087523262056 50.18304921989835066),"Higher Bodrivial Farm, Carwynnen, Troon",W2/PA02/00559/F,Application approved & operational,1,6.5m,8.25m,Operational,1,0.003,7/25/2002,-5.2911,50.183
Point (-5.1817531483949546 50.1414945746607259),"Higher Carvedras, Trewardreva, Constantine",W2/PA02/01410/F,Application approved & operational,1,11m,12.75m,Operational,1,0.003,2/18/2003,-5.1818,50.1415
Point (-4.48690194608931137 50.70953576659436379),"Wheatley Farm, South Wheatley",E1/2004/02080,Application approved & operational,1,---,---,Operational,1,0.015,1/10/2005,-4.4869,50.7095
Point (-5.21555114317673318 50.0478732932724526),"NE of Bonython Manor, Bonython Estate",PA12/03064,Application approved not constructed,1,25m,34.6m,Approved,0,0.055,9/18/2013,-5.2156,50.0479
Point (-4.75168056694954988 50.58645729854938367),"Higher Suffenton, St Teath, Bodmin",PA12/03021,Application approved & operational,2,18.4m,24.8m,Operational,1,0.011,8/6/2012,-4.7517,50.5865
Point (-4.99918040752844028 50.33547805544945675),"Lower Landrine Farm, Mitchell, Newquay",PA12/03477,Application approved & operational,1,18.4m,24.9m,Operational,1,0.011,5/31/2012,-4.9992,50.3355
Point (-4.97310218734426268 50.36185892446415124),"Goenrounsen Farm, Carnego Lane, Summercourt",PA12/02965,Application approved & operational,1,24.6m,34.2m,Operational,1,0.055,6/8/2012,-4.9731,50.3619
Point (-4.84475387303887128 50.46875691194910729),"Higher Tregolls,Tregolls Hill, St Wenn, Bodmin",PA12/02635,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,10/26/2012,-4.8448,50.4688
Point (-4.45169520275249919 50.62446030416463572),"Trenault Farm, Pipers Pool, Launceston",PREAPP12/01155,Pre application - closed/issued,2,32m,---,Closed pub avail,0,0,8/29/2012,-4.4517,50.6245
Point (-4.61818967203257458 50.66168057542252967),"Churchtown Farm, Vicarage Hill, Davidstow",PREAPP12/01156,Pre application - closed/issued,2,32m,---,Closed pub avail,0,0,8/29/2012,-4.6182,50.6617
